"","year","word","n"
"1",2014,"prime",33
"2",2015,"prime",23
"3",2013,"prime",21
"4",2012,"prime",7
"5",2008,"prime",4
"6",2005,"prime",3
"7",2009,"prime",2
"8",2011,"prime",2
"9",2016,"prime",2
"10",2002,"prime",1
"11",2014,"aws",26
"12",2015,"aws",21
"13",2011,"aws",6
"14",2012,"aws",5
"15",2009,"aws",2
"16",2013,"aws",2
"17",2006,"aws",1
"18",2010,"aws",1
"19",2016,"aws",1
"20",2007,"book",14
"21",2002,"books",10
"22",2007,"books",9
"23",2011,"books",9
"24",2001,"book",4
"25",1999,"books",3
"26",2011,"book",3
"27",2008,"book",2
"28",2008,"books",2
"29",2012,"books",2
"30",2013,"book",2
"31",1997,"books",1
"32",2001,"books",1
"33",2002,"book",1
"34",2006,"book",1
"35",2009,"books",1
"36",2010,"books",1
"37",2013,"books",1
"38",2015,"books",1
"39",2013,"fresh",5
"40",2006,"fresh",1
"41",2008,"fresh",1
"42",2013,"fire",14
"43",2007,"fire",1
"44",2013,"phone",1
"45",2014,"fire",1
"46",2007,"kindle",17
"47",2011,"kindle",15
"48",2013,"kindle",13
"49",2008,"kindle",8
"50",2010,"kindle",5
"51",2012,"kindle",4
"52",2009,"kindle",1
"53",2014,"kindle",1
"54",2015,"kindle",1
"55",2010,"data",12
"56",2015,"data",10
"57",2005,"data",6
"58",2014,"data",2
"59",2002,"data",1
"60",2011,"data",1
"61",2013,"customers",39
"62",2014,"customers",27
"63",1999,"customers",25
"64",2012,"customers",19
"65",1998,"customers",18
"66",1997,"customers",17
"67",2002,"customer",17
"68",2015,"customers",17
"69",1999,"customer",16
"70",2015,"customer",16
"71",2016,"customer",12
"72",2000,"customer",11
"73",2001,"customers",11
"74",2009,"customers",11
"75",2012,"customer",11
"76",2013,"customer",11
"77",2014,"customer",11
"78",1998,"customer",10
"79",2003,"customers",10
"80",2008,"customer",10
"81",2008,"customers",10
"82",2003,"customer",9
"83",1997,"customer",8
"84",1999,"shareholders",8
"85",2001,"customer",7
"86",2016,"customers",7
"87",2005,"customers",6
"88",2000,"shareholders",5
"89",2001,"shareholders",5
"90",2009,"customer",5
"91",2000,"customers",4
"92",2002,"customers",4
"93",2005,"customer",4
"94",2007,"customers",4
"95",2011,"customers",4
"96",1997,"shareholders",3
"97",1998,"shareholders",3
"98",2002,"shareholders",3
"99",2003,"shareholders",3
"100",2004,"shareholders",3
"101",2005,"shareholders",3
"102",2006,"customer",3
"103",2006,"shareholders",3
"104",2010,"customer",3
"105",2010,"customers",3
"106",2004,"customer",2
"107",2004,"customers",2
"108",2004,"shareholder",2
"109",2006,"customers",2
"110",2011,"customer",2
"111",2015,"shareholders",2
"112",1997,"shareholder",1
"113",2001,"shareholder",1
"114",2005,"shareholder",1
"115",2007,"customer",1
"116",2007,"shareholders",1
"117",2012,"shareholder",1
"118",2012,"shareholders",1
"119",1998,"relentless",1
"120",1999,"relentless",1
"121",2000,"relentless",1
"122",2001,"relentless",1
"123",2009,"relentless",1
